"Name","Locus","Pathway"
"acs","Rv3667","mtu00630"
"glcB","Rv1837c","mtu00630"
"mdh","Rv1240","mtu00630"
"citA","Rv0889c","mtu00630"
"gltA2","Rv0896","mtu00630"
"prpC","Rv1131","mtu00630"
"acn","Rv1475c","mtu00630"
"fadA4","Rv1323","mtu00630"
"fadA3","Rv1074c","mtu00630"
"Rv1867","Rv1867","mtu00630"
"fadA5","Rv3546","mtu00630"
"Rv0859","Rv0859","mtu00630"
"Rv0914c","Rv0914c","mtu00630"
"ltp3","Rv3523","mtu00630"
"fadA2","Rv0243","mtu00630"
"fadA6","Rv3556c","mtu00630"
"Rv1322A","Rv1322A","mtu00630"
"accA2","Rv0973c","mtu00630"
"accD5","Rv3280","mtu00630"
"accA3","Rv3285","mtu00630"
"accA1","Rv2501c","mtu00630"
"accD6","Rv2247","mtu00630"
"mutB","Rv1493","mtu00630"
"mutA","Rv1492","mtu00630"
"Rv1257c","Rv1257c","mtu00630"
"glnA1","Rv2220","mtu00630"
"glnA2","Rv2222c","mtu00630"
"glnA4","Rv2860c","mtu00630"
"glnA3","Rv1878","mtu00630"
"glyA2","Rv0070c","mtu00630"
"glyA1","Rv1093","mtu00630"
"gcvB","Rv1832","mtu00630"
"gcvT","Rv2211c","mtu00630"
"lpdC","Rv0462","mtu00630"
"gcvH","Rv1826","mtu00630"
"Rv2205c","Rv2205c","mtu00630"
"purU","Rv2964","mtu00630"
"oxcA","Rv0118c","mtu00630"
"acs","Rv3667","mtu00640"
"ackA","Rv0409","mtu00640"
"pta","Rv0408","mtu00640"
"lpdC","Rv0462","mtu00640"
"echA10","Rv1142c","mtu00640"
"echA13","Rv1935c","mtu00640"
"echA15","Rv2679","mtu00640"
"echA16","Rv2831","mtu00640"
"echA18","Rv3373","mtu00640"
"echA19","Rv3516","mtu00640"
"echA21","Rv3774","mtu00640"
"echA8","Rv1070c","mtu00640"
"echA6","Rv0905","mtu00640"
"echA12","Rv1472","mtu00640"
"echA14","Rv2486","mtu00640"
"echA17","Rv3039c","mtu00640"
"echA1","Rv0222","mtu00640"
"echA2","Rv0456c","mtu00640"
"echA3","Rv0632c","mtu00640"
"echA5","Rv0675","mtu00640"
"echA7","Rv0971c","mtu00640"
"echA9","Rv1071c","mtu00640"
"echA20","Rv3550","mtu00640"
"echA4","Rv0673","mtu00640"
"echA11","Rv1141c","mtu00640"
"fadB","Rv0860","mtu00640"
"accA3","Rv3285","mtu00640"
"accA1","Rv2501c","mtu00640"
"accD6","Rv2247","mtu00640"
"gabT","Rv2589","mtu00640"
"accA2","Rv0973c","mtu00640"
"accD5","Rv3280","mtu00640"
"Rv1322A","Rv1322A","mtu00640"
"mutB","Rv1493","mtu00640"
"mutA","Rv1492","mtu00640"
"sucC","Rv0951","mtu00640"
"sucD","Rv0952","mtu00640"
"mmsA","Rv0753c","mtu00640"
"prpD","Rv1130","mtu00640"
"fadA4","Rv1323","mtu00640"
"fadA3","Rv1074c","mtu00640"
"Rv1867","Rv1867","mtu00640"
"fadA5","Rv3546","mtu00640"
"Rv0859","Rv0859","mtu00640"
"Rv0914c","Rv0914c","mtu00640"
"ltp3","Rv3523","mtu00640"
"fadA2","Rv0243","mtu00640"
"fadA6","Rv3556c","mtu00640"
"acs","Rv3667","mtu00640"
"ackA","Rv0409","mtu00640"
"pta","Rv0408","mtu00640"
"lpdC","Rv0462","mtu00640"
"echA10","Rv1142c","mtu00640"
"echA13","Rv1935c","mtu00640"
"echA15","Rv2679","mtu00640"
"echA16","Rv2831","mtu00640"
"echA18","Rv3373","mtu00640"
"echA19","Rv3516","mtu00640"
"echA21","Rv3774","mtu00640"
"echA8","Rv1070c","mtu00640"
"echA6","Rv0905","mtu00640"
"echA12","Rv1472","mtu00640"
"echA14","Rv2486","mtu00640"
"echA17","Rv3039c","mtu00640"
"echA1","Rv0222","mtu00640"
"echA2","Rv0456c","mtu00640"
"echA3","Rv0632c","mtu00640"
"echA5","Rv0675","mtu00640"
"echA7","Rv0971c","mtu00640"
"echA9","Rv1071c","mtu00640"
"echA20","Rv3550","mtu00640"
"echA4","Rv0673","mtu00640"
"echA11","Rv1141c","mtu00640"
"fadB","Rv0860","mtu00640"
"accA3","Rv3285","mtu00640"
"accA1","Rv2501c","mtu00640"
"accD6","Rv2247","mtu00640"
"gabT","Rv2589","mtu00640"
"accA2","Rv0973c","mtu00640"
"accD5","Rv3280","mtu00640"
"Rv1322A","Rv1322A","mtu00640"
"mutB","Rv1493","mtu00640"
"mutA","Rv1492","mtu00640"
"sucC","Rv0951","mtu00640"
"sucD","Rv0952","mtu00640"
"mmsA","Rv0753c","mtu00640"
"prpD","Rv1130","mtu00640"
"fadA4","Rv1323","mtu00640"
"fadA3","Rv1074c","mtu00640"
"Rv1867","Rv1867","mtu00640"
"fadA5","Rv3546","mtu00640"
"Rv0859","Rv0859","mtu00640"
"Rv0914c","Rv0914c","mtu00640"
"ltp3","Rv3523","mtu00640"
"fadA2","Rv0243","mtu00640"
"fadA6","Rv3556c","mtu00640"
"amiD","Rv3375","mtu00643"
"amiB2","Rv1263","mtu00643"
"amiA2","Rv2363","mtu00643"
"amiC","Rv2888c","mtu00643"
"Rv3175","Rv3175","mtu00643"
"amiD","Rv3375","mtu00643"
"amiB2","Rv1263","mtu00643"
"amiA2","Rv2363","mtu00643"
"amiC","Rv2888c","mtu00643"
"Rv3175","Rv3175","mtu00643"
"fadA4","Rv1323","mtu00650"
"fadA3","Rv1074c","mtu00650"
"Rv1867","Rv1867","mtu00650"
"fadA5","Rv3546","mtu00650"
"Rv0859","Rv0859","mtu00650"
"Rv0914c","Rv0914c","mtu00650"
"ltp3","Rv3523","mtu00650"
"fadA2","Rv0243","mtu00650"
"fadA6","Rv3556c","mtu00650"
"fadB3","Rv1715","mtu00650"
"fadB2","Rv0468","mtu00650"
"fadB","Rv0860","mtu00650"
"echA10","Rv1142c","mtu00650"
"echA13","Rv1935c","mtu00650"
"echA15","Rv2679","mtu00650"
"echA16","Rv2831","mtu00650"
"echA18","Rv3373","mtu00650"
"echA19","Rv3516","mtu00650"
"echA21","Rv3774","mtu00650"
"echA8","Rv1070c","mtu00650"
"echA6","Rv0905","mtu00650"
"echA12","Rv1472","mtu00650"
"echA14","Rv2486","mtu00650"
"echA17","Rv3039c","mtu00650"
"echA1","Rv0222","mtu00650"
"echA2","Rv0456c","mtu00650"
"echA3","Rv0632c","mtu00650"
"echA5","Rv0675","mtu00650"
"echA7","Rv0971c","mtu00650"
"echA9","Rv1071c","mtu00650"
"echA20","Rv3550","mtu00650"
"echA4","Rv0673","mtu00650"
"echA11","Rv1141c","mtu00650"
"hsaG","Rv3535c","mtu00650"
"sdhA","Rv3318","mtu00650"
"Rv0248c","Rv0248c","mtu00650"
"sdhB","Rv3319","mtu00650"
"Rv0247c","Rv0247c","mtu00650"
"sdhC","Rv3316","mtu00650"
"sdhD","Rv3317","mtu00650"
"frdA","Rv1552","mtu00650"
"frdB","Rv1553","mtu00650"
"frdC","Rv1554","mtu00650"
"frdD","Rv1555","mtu00650"
"gadB","Rv3432c","mtu00650"
"gabT","Rv2589","mtu00650"
"gabD1","Rv0234c","mtu00650"
"gabD2","Rv1731","mtu00650"
"Rv2455c","Rv2455c","mtu00650"
"Rv2454c","Rv2454c","mtu00650"
"scoA","Rv2504c","mtu00650"
"scoB","Rv2503c","mtu00650"
"ilvG","Rv1820","mtu00650"
"ilvB1","Rv3003c","mtu00650"
"ilvB2","Rv3470c","mtu00650"
"ilvX","Rv3509c","mtu00650"
"ilvN","Rv3002c","mtu00650"
"fadA4","Rv1323","mtu00650"
"fadA3","Rv1074c","mtu00650"
"Rv1867","Rv1867","mtu00650"
"fadA5","Rv3546","mtu00650"
"Rv0859","Rv0859","mtu00650"
"Rv0914c","Rv0914c","mtu00650"
"ltp3","Rv3523","mtu00650"
"fadA2","Rv0243","mtu00650"
"fadA6","Rv3556c","mtu00650"
"fadB3","Rv1715","mtu00650"
"fadB2","Rv0468","mtu00650"
"fadB","Rv0860","mtu00650"
"echA10","Rv1142c","mtu00650"
"echA13","Rv1935c","mtu00650"
"echA15","Rv2679","mtu00650"
"echA16","Rv2831","mtu00650"
"echA18","Rv3373","mtu00650"
"echA19","Rv3516","mtu00650"
"echA21","Rv3774","mtu00650"
"echA8","Rv1070c","mtu00650"
"echA6","Rv0905","mtu00650"
"echA12","Rv1472","mtu00650"
"echA14","Rv2486","mtu00650"
"echA17","Rv3039c","mtu00650"
"echA1","Rv0222","mtu00650"
"echA2","Rv0456c","mtu00650"
"echA3","Rv0632c","mtu00650"
"echA5","Rv0675","mtu00650"
"echA7","Rv0971c","mtu00650"
"echA9","Rv1071c","mtu00650"
"echA20","Rv3550","mtu00650"
"echA4","Rv0673","mtu00650"
"echA11","Rv1141c","mtu00650"
"hsaG","Rv3535c","mtu00650"
"sdhA","Rv3318","mtu00650"
"Rv0248c","Rv0248c","mtu00650"
"sdhB","Rv3319","mtu00650"
"Rv0247c","Rv0247c","mtu00650"
"sdhC","Rv3316","mtu00650"
"sdhD","Rv3317","mtu00650"
"frdA","Rv1552","mtu00650"
"frdB","Rv1553","mtu00650"
"frdC","Rv1554","mtu00650"
"frdD","Rv1555","mtu00650"
"gadB","Rv3432c","mtu00650"
"gabT","Rv2589","mtu00650"
"gabD1","Rv0234c","mtu00650"
"gabD2","Rv1731","mtu00650"
"Rv2455c","Rv2455c","mtu00650"
"Rv2454c","Rv2454c","mtu00650"
"scoA","Rv2504c","mtu00650"
"scoB","Rv2503c","mtu00650"
"ilvG","Rv1820","mtu00650"
"ilvB1","Rv3003c","mtu00650"
"ilvB2","Rv3470c","mtu00650"
"ilvX","Rv3509c","mtu00650"
"ilvN","Rv3002c","mtu00650"
"ilvG","Rv1820","mtu00660"
"ilvB1","Rv3003c","mtu00660"
"ilvB2","Rv3470c","mtu00660"
"ilvX","Rv3509c","mtu00660"
"ilvN","Rv3002c","mtu00660"
"sucC","Rv0951","mtu00660"
"sucD","Rv0952","mtu00660"
"leuC","Rv2988c","mtu00660"
"leuD","Rv2987c","mtu00660"
"leuB","Rv2995c","mtu00660"
"ilvG","Rv1820","mtu00660"
"ilvB1","Rv3003c","mtu00660"
"ilvB2","Rv3470c","mtu00660"
"ilvX","Rv3509c","mtu00660"
"ilvN","Rv3002c","mtu00660"
"sucC","Rv0951","mtu00660"
"sucD","Rv0952","mtu00660"
"leuC","Rv2988c","mtu00660"
"leuD","Rv2987c","mtu00660"
"leuB","Rv2995c","mtu00660"
"dfrA","Rv2763c","mtu00670"
"folD","Rv3356c","mtu00670"
"glyA2","Rv0070c","mtu00670"
"glyA1","Rv1093","mtu00670"
"purN","Rv0956","mtu00670"
"purT","Rv0389","mtu00670"
"purH","Rv0957","mtu00670"
"fmt","Rv1406","mtu00670"
"gcvT","Rv2211c","mtu00670"
"metH","Rv2124c","mtu00670"
"thyA","Rv2764c","mtu00670"
"thyX","Rv2754c","mtu00670"
"purU","Rv2964","mtu00670"
"dfrA","Rv2763c","mtu00670"
"folD","Rv3356c","mtu00670"
"glyA2","Rv0070c","mtu00670"
"glyA1","Rv1093","mtu00670"
"purN","Rv0956","mtu00670"
"purT","Rv0389","mtu00670"
"purH","Rv0957","mtu00670"
"fmt","Rv1406","mtu00670"
"gcvT","Rv2211c","mtu00670"
"metH","Rv2124c","mtu00670"
"thyA","Rv2764c","mtu00670"
"thyX","Rv2754c","mtu00670"
"purU","Rv2964","mtu00670"
"adhB","Rv0761c","mtu00680"
"glyA2","Rv0070c","mtu00680"
"glyA1","Rv1093","mtu00680"
"eno","Rv1023","mtu00680"
"mdh","Rv1240","mtu00680"
"fba","Rv0363c","mtu00680"
"glpX","Rv1099c","mtu00680"
"pfkB","Rv2029c","mtu00680"
"pfkA","Rv3010c","mtu00680"
"ackA","Rv0409","mtu00680"
"pta","Rv0408","mtu00680"
"acs","Rv3667","mtu00680"
"gpm1","Rv0489","mtu00680"
"serA2","Rv0728c","mtu00680"
"serA1","Rv2996c","mtu00680"
"serC","Rv0884c","mtu00680"
"serB2","Rv3042c","mtu00680"
"fbiC","Rv1173","mtu00680"
"Rv2983","Rv2983","mtu00680"
"fbiA","Rv3261","mtu00680"
"fbiB","Rv3262","mtu00680"
"adhB","Rv0761c","mtu00680"
"glyA2","Rv0070c","mtu00680"
"glyA1","Rv1093","mtu00680"
"eno","Rv1023","mtu00680"
"mdh","Rv1240","mtu00680"
"fba","Rv0363c","mtu00680"
"glpX","Rv1099c","mtu00680"
"pfkB","Rv2029c","mtu00680"
"pfkA","Rv3010c","mtu00680"
"ackA","Rv0409","mtu00680"
"pta","Rv0408","mtu00680"
"acs","Rv3667","mtu00680"
"gpm1","Rv0489","mtu00680"
"serA2","Rv0728c","mtu00680"
"serA1","Rv2996c","mtu00680"
"serC","Rv0884c","mtu00680"
"serB2","Rv3042c","mtu00680"
"fbiC","Rv1173","mtu00680"
"Rv2983","Rv2983","mtu00680"
"fbiA","Rv3261","mtu00680"
"fbiB","Rv3262","mtu00680"
"thiC","Rv0423c","mtu00730"
"thiD","Rv0422c","mtu00730"
"iscS","Rv3025c","mtu00730"
"thiO","Rv0415","mtu00730"
"dxs1","Rv2682c","mtu00730"
"dxs2","Rv3379c","mtu00730"
"thiG","Rv0417","mtu00730"
"thiE","Rv0414c","mtu00730"
"thiL","Rv2977c","mtu00730"
"Rv3228","Rv3228","mtu00730"
"adk","Rv0733","mtu00730"
"thiC","Rv0423c","mtu00730"
"thiD","Rv0422c","mtu00730"
"iscS","Rv3025c","mtu00730"
"thiO","Rv0415","mtu00730"
"dxs1","Rv2682c","mtu00730"
"dxs2","Rv3379c","mtu00730"
"thiG","Rv0417","mtu00730"
"thiE","Rv0414c","mtu00730"
"thiL","Rv2977c","mtu00730"
"Rv3228","Rv3228","mtu00730"
"adk","Rv0733","mtu00730"
"ribA1","Rv1940","mtu00740"
"ribA2","Rv1415","mtu00740"
"ribD","Rv2671","mtu00740"
"ribG","Rv1409","mtu00740"
"ribH","Rv1416","mtu00740"
"ribC","Rv1412","mtu00740"
"ribF","Rv2786c","mtu00740"
"Rv0306","Rv0306","mtu00740"
"ribA1","Rv1940","mtu00740"
"ribA2","Rv1415","mtu00740"
"ribD","Rv2671","mtu00740"
"ribG","Rv1409","mtu00740"
"ribH","Rv1416","mtu00740"
"ribC","Rv1412","mtu00740"
"ribF","Rv2786c","mtu00740"
"Rv0306","Rv0306","mtu00740"
"pdxH","Rv2607","mtu00750"
"serC","Rv0884c","mtu00750"
"thrC","Rv1295","mtu00750"
"snzP","Rv2606c","mtu00750"
"snoP","Rv2604c","mtu00750"
"pdxH","Rv2607","mtu00750"
"serC","Rv0884c","mtu00750"
"thrC","Rv1295","mtu00750"
"snzP","Rv2606c","mtu00750"
"snoP","Rv2604c","mtu00750"
"nadB","Rv1595","mtu00760"
"nadA","Rv1594","mtu00760"
"nadC","Rv1596","mtu00760"
"pncB2","Rv0573c","mtu00760"
"pncB1","Rv1330c","mtu00760"
"deoD","Rv3307","mtu00760"
"nadR","Rv0212c","mtu00760"
"nadD","Rv2421c","mtu00760"
"nudC","Rv3199c","mtu00760"
"nadE","Rv2438c","mtu00760"
"cinA","Rv1901","mtu00760"
"iunH","Rv3393","mtu00760"
"pncA","Rv2043c","mtu00760"
"Rv1151c","Rv1151c","mtu00760"
"ppnK","Rv1695","mtu00760"
"sthA","Rv2713","mtu00760"
"pntAa","Rv0155","mtu00760"
"pntAb","Rv0156","mtu00760"
"pntB","Rv0157","mtu00760"
"gabD1","Rv0234c","mtu00760"
"gabD2","Rv1731","mtu00760"
"nadB","Rv1595","mtu00760"
"nadA","Rv1594","mtu00760"
"nadC","Rv1596","mtu00760"
"pncB2","Rv0573c","mtu00760"
"pncB1","Rv1330c","mtu00760"
"deoD","Rv3307","mtu00760"
"nadR","Rv0212c","mtu00760"
"nadD","Rv2421c","mtu00760"
"nudC","Rv3199c","mtu00760"
"nadE","Rv2438c","mtu00760"
"cinA","Rv1901","mtu00760"
"iunH","Rv3393","mtu00760"
"pncA","Rv2043c","mtu00760"
"Rv1151c","Rv1151c","mtu00760"
"ppnK","Rv1695","mtu00760"
"sthA","Rv2713","mtu00760"
"pntAa","Rv0155","mtu00760"
"pntAb","Rv0156","mtu00760"
"pntB","Rv0157","mtu00760"
"gabD1","Rv0234c","mtu00760"
"gabD2","Rv1731","mtu00760"
"ilvG","Rv1820","mtu00770"
"ilvB1","Rv3003c","mtu00770"
"ilvB2","Rv3470c","mtu00770"
"ilvX","Rv3509c","mtu00770"
"ilvN","Rv3002c","mtu00770"
"ilvC","Rv3001c","mtu00770"
"ilvD","Rv0189c","mtu00770"
"panB","Rv2225","mtu00770"
"Rv2573","Rv2573","mtu00770"
"panC","Rv3602c","mtu00770"
"coaA","Rv1092c","mtu00770"
"Rv3600c","Rv3600c","mtu00770"
"dfp","Rv1391","mtu00770"
"kdtB","Rv2965c","mtu00770"
"coaE","Rv1631","mtu00770"
"acpS","Rv2523c","mtu00770"
"ilvE","Rv2210c","mtu00770"
"panD","Rv3601c","mtu00770"
"ilvG","Rv1820","mtu00770"
"ilvB1","Rv3003c","mtu00770"
"ilvB2","Rv3470c","mtu00770"
"ilvX","Rv3509c","mtu00770"
"ilvN","Rv3002c","mtu00770"
"ilvC","Rv3001c","mtu00770"
"ilvD","Rv0189c","mtu00770"
"panB","Rv2225","mtu00770"
"Rv2573","Rv2573","mtu00770"
"panC","Rv3602c","mtu00770"
"coaA","Rv1092c","mtu00770"
"Rv3600c","Rv3600c","mtu00770"
"dfp","Rv1391","mtu00770"
"kdtB","Rv2965c","mtu00770"
"coaE","Rv1631","mtu00770"
"acpS","Rv2523c","mtu00770"
"ilvE","Rv2210c","mtu00770"
"panD","Rv3601c","mtu00770"
"fabG2","Rv1350","mtu00780"
"fabG4","Rv0242c","mtu00780"
"hsd4A","Rv3502c","mtu00780"
"Rv3559c","Rv3559c","mtu00780"
"Rv0769","Rv0769","mtu00780"
"bioF2","Rv0032","mtu00780"
"bioF1","Rv1569","mtu00780"
"bioA","Rv1568","mtu00780"
"bioD","Rv1570","mtu00780"
"bioB","Rv1589","mtu00780"
"birA","Rv3279c","mtu00780"
"bisC","Rv1442","mtu00780"
"fabG2","Rv1350","mtu00780"
"fabG4","Rv0242c","mtu00780"
"hsd4A","Rv3502c","mtu00780"
"Rv3559c","Rv3559c","mtu00780"
"Rv0769","Rv0769","mtu00780"
"bioF2","Rv0032","mtu00780"
"bioF1","Rv1569","mtu00780"
"bioA","Rv1568","mtu00780"
"bioD","Rv1570","mtu00780"
"bioB","Rv1589","mtu00780"
"birA","Rv3279c","mtu00780"
"bisC","Rv1442","mtu00780"
"lipB","Rv2217","mtu00785"
"lipA","Rv2218","mtu00785"
"lipB","Rv2217","mtu00785"
"lipA","Rv2218","mtu00785"
"folE","Rv3609c","mtu00790"
"folB","Rv3607c","mtu00790"
"folK","Rv3606c","mtu00790"
"folP2","Rv1207","mtu00790"
"folP1","Rv3608c","mtu00790"
"dfrA","Rv2763c","mtu00790"
"folC","Rv2447c","mtu00790"
"ribA1","Rv1940","mtu00790"
"ribA2","Rv1415","mtu00790"
"trpG","Rv0013","mtu00790"
"Rv1005c","Rv1005c","mtu00790"
"pabC","Rv0812","mtu00790"
"moaB1","Rv3110","mtu00790"
"Rv1159A","Rv1159A","mtu00790"
"moaA1","Rv3109","mtu00790"
"moaA2","Rv0869c","mtu00790"
"moaC1","Rv3111","mtu00790"
"moaC2","Rv0864","mtu00790"
"moaC3","Rv3324c","mtu00790"
"moaE1","Rv3119","mtu00790"
"moaE2","Rv0866","mtu00790"
"moaX","Rv3323c","mtu00790"
"moeA2","Rv0438c","mtu00790"
"moeA1","Rv0994","mtu00790"
"Rv0345","Rv0345","mtu00790"
"Rv0371c","Rv0371c","mtu00790"
"mobA","Rv2453c","mtu00790"
"folE","Rv3609c","mtu00790"
"folB","Rv3607c","mtu00790"
"folK","Rv3606c","mtu00790"
"folP2","Rv1207","mtu00790"
"folP1","Rv3608c","mtu00790"
"dfrA","Rv2763c","mtu00790"
"folC","Rv2447c","mtu00790"
"ribA1","Rv1940","mtu00790"
"ribA2","Rv1415","mtu00790"
"trpG","Rv0013","mtu00790"
"Rv1005c","Rv1005c","mtu00790"
"pabC","Rv0812","mtu00790"
"moaB1","Rv3110","mtu00790"
"Rv1159A","Rv1159A","mtu00790"
"moaA1","Rv3109","mtu00790"
"moaA2","Rv0869c","mtu00790"
"moaC1","Rv3111","mtu00790"
"moaC2","Rv0864","mtu00790"
"moaC3","Rv3324c","mtu00790"
"moaE1","Rv3119","mtu00790"
"moaE2","Rv0866","mtu00790"
"moaX","Rv3323c","mtu00790"
"moeA2","Rv0438c","mtu00790"
"moeA1","Rv0994","mtu00790"
"Rv0345","Rv0345","mtu00790"
"Rv0371c","Rv0371c","mtu00790"
"mobA","Rv2453c","mtu00790"
"gltS","Rv2992c","mtu00860"
"hemA","Rv0509","mtu00860"
"hemL","Rv0524","mtu00860"
"hemB","Rv0512","mtu00860"
"hemC","Rv0510","mtu00860"
"Rv0260c","Rv0260c","mtu00860"
"hemE","Rv2678c","mtu00860"
"hemY","Rv2677c","mtu00860"
"hemZ","Rv1485","mtu00860"
"hemD","Rv0511","mtu00860"
"cysG","Rv2847c","mtu00860"
"Rv1451","Rv1451","mtu00860"
"Rv1456c","Rv1456c","mtu00860"
"cobIJ","Rv2066","mtu00860"
"cobG","Rv2064","mtu00860"
"cobM","Rv2071c","mtu00860"
"cobK","Rv2070c","mtu00860"
"cobL","Rv2072c","mtu00860"
"cobH","Rv2065","mtu00860"
"cobB","Rv2848c","mtu00860"
"cobN","Rv2062c","mtu00860"
"Rv1314c","Rv1314c","mtu00860"
"cobO","Rv2849c","mtu00860"
"cobQ1","Rv0255c","mtu00860"
"cobD","Rv2236c","mtu00860"
"cobU","Rv0254c","mtu00860"
"cobS","Rv2208","mtu00860"
"cobT","Rv2207","mtu00860"
"Rv2228c","Rv2228c","mtu00860"
"Rv2850c","Rv2850c","mtu00860"
"Rv0958","Rv0958","mtu00860"
"Rv2074","Rv2074","mtu00860"
"bfrA","Rv1876","mtu00860"
"bfrB","Rv3841","mtu00860"
"Rv0846c","Rv0846c","mtu00860"
"gltS","Rv2992c","mtu00860"
"hemA","Rv0509","mtu00860"
"hemL","Rv0524","mtu00860"
"hemB","Rv0512","mtu00860"
"hemC","Rv0510","mtu00860"
"Rv0260c","Rv0260c","mtu00860"
"hemE","Rv2678c","mtu00860"
"hemY","Rv2677c","mtu00860"
"hemZ","Rv1485","mtu00860"
"hemD","Rv0511","mtu00860"
"cysG","Rv2847c","mtu00860"
"Rv1451","Rv1451","mtu00860"
"Rv1456c","Rv1456c","mtu00860"
"cobIJ","Rv2066","mtu00860"
"cobG","Rv2064","mtu00860"
"cobM","Rv2071c","mtu00860"
"cobK","Rv2070c","mtu00860"
"cobL","Rv2072c","mtu00860"
"cobH","Rv2065","mtu00860"
"cobB","Rv2848c","mtu00860"
"cobN","Rv2062c","mtu00860"
"Rv1314c","Rv1314c","mtu00860"
"cobO","Rv2849c","mtu00860"
"cobQ1","Rv0255c","mtu00860"
"cobD","Rv2236c","mtu00860"
"cobU","Rv0254c","mtu00860"
"cobS","Rv2208","mtu00860"
"cobT","Rv2207","mtu00860"
"Rv2228c","Rv2228c","mtu00860"
"Rv2850c","Rv2850c","mtu00860"
"Rv0958","Rv0958","mtu00860"
"Rv2074","Rv2074","mtu00860"
"bfrA","Rv1876","mtu00860"
"bfrB","Rv3841","mtu00860"
"Rv0846c","Rv0846c","mtu00860"
"dxs1","Rv2682c","mtu00900"
"dxs2","Rv3379c","mtu00900"
"dxr","Rv2870c","mtu00900"
"ispD","Rv3582c","mtu00900"
"ispE","Rv1011","mtu00900"
"ispF","Rv3581c","mtu00900"
"gcpE","Rv2868c","mtu00900"
"lytB2","Rv1110","mtu00900"
"Rv3382c","Rv3382c","mtu00900"
"fadA4","Rv1323","mtu00900"
"fadA3","Rv1074c","mtu00900"
"Rv1867","Rv1867","mtu00900"
"fadA5","Rv3546","mtu00900"
"Rv0859","Rv0859","mtu00900"
"Rv0914c","Rv0914c","mtu00900"
"ltp3","Rv3523","mtu00900"
"fadA2","Rv0243","mtu00900"
"fadA6","Rv3556c","mtu00900"
"idi","Rv1745c","mtu00900"
"idsB","Rv3383c","mtu00900"
"idsA2","Rv2173","mtu00900"
"idsA1","Rv3398c","mtu00900"
"Rv1086","Rv1086","mtu00900"
"uppS","Rv2361c","mtu00900"
"grcC1","Rv0562","mtu00900"
"grcC2","Rv0989c","mtu00900"
"dxs1","Rv2682c","mtu00900"
"dxs2","Rv3379c","mtu00900"
"dxr","Rv2870c","mtu00900"
"ispD","Rv3582c","mtu00900"
"ispE","Rv1011","mtu00900"
"ispF","Rv3581c","mtu00900"
"gcpE","Rv2868c","mtu00900"
"lytB2","Rv1110","mtu00900"
"Rv3382c","Rv3382c","mtu00900"
"fadA4","Rv1323","mtu00900"
"fadA3","Rv1074c","mtu00900"
"Rv1867","Rv1867","mtu00900"
"fadA5","Rv3546","mtu00900"
"Rv0859","Rv0859","mtu00900"
"Rv0914c","Rv0914c","mtu00900"
"ltp3","Rv3523","mtu00900"
"fadA2","Rv0243","mtu00900"
"fadA6","Rv3556c","mtu00900"
"idi","Rv1745c","mtu00900"
"idsB","Rv3383c","mtu00900"
"idsA2","Rv2173","mtu00900"
"idsA1","Rv3398c","mtu00900"
"Rv1086","Rv1086","mtu00900"
"uppS","Rv2361c","mtu00900"
"grcC1","Rv0562","mtu00900"
"grcC2","Rv0989c","mtu00900"
"aldA","Rv0768","mtu00903"
"Rv0147","Rv0147","mtu00903"
"Rv0223c","Rv0223c","mtu00903"
"pcd","Rv3293","mtu00903"
"Rv3618","Rv3618","mtu00903"
"ephG","Rv2740","mtu00903"
"echA10","Rv1142c","mtu00903"
"echA13","Rv1935c","mtu00903"
"echA15","Rv2679","mtu00903"
"echA16","Rv2831","mtu00903"
"echA18","Rv3373","mtu00903"
"echA19","Rv3516","mtu00903"
"echA21","Rv3774","mtu00903"
"echA8","Rv1070c","mtu00903"
"echA6","Rv0905","mtu00903"
"echA12","Rv1472","mtu00903"
"echA14","Rv2486","mtu00903"
"echA17","Rv3039c","mtu00903"
"echA1","Rv0222","mtu00903"
"echA2","Rv0456c","mtu00903"
"echA3","Rv0632c","mtu00903"
"echA5","Rv0675","mtu00903"
"echA7","Rv0971c","mtu00903"
"echA9","Rv1071c","mtu00903"
"echA20","Rv3550","mtu00903"
"echA4","Rv0673","mtu00903"
"echA11","Rv1141c","mtu00903"
"fadB","Rv0860","mtu00903"
"aldA","Rv0768","mtu00903"
"Rv0147","Rv0147","mtu00903"
"Rv0223c","Rv0223c","mtu00903"
"pcd","Rv3293","mtu00903"
"Rv3618","Rv3618","mtu00903"
"ephG","Rv2740","mtu00903"
"echA10","Rv1142c","mtu00903"
"echA13","Rv1935c","mtu00903"
"echA15","Rv2679","mtu00903"
"echA16","Rv2831","mtu00903"
"echA18","Rv3373","mtu00903"
"echA19","Rv3516","mtu00903"
"echA21","Rv3774","mtu00903"
"echA8","Rv1070c","mtu00903"
"echA6","Rv0905","mtu00903"
"echA12","Rv1472","mtu00903"
"echA14","Rv2486","mtu00903"
"echA17","Rv3039c","mtu00903"
"echA1","Rv0222","mtu00903"
"echA2","Rv0456c","mtu00903"
"echA3","Rv0632c","mtu00903"
"echA5","Rv0675","mtu00903"
"echA7","Rv0971c","mtu00903"
"echA9","Rv1071c","mtu00903"
"echA20","Rv3550","mtu00903"
"echA4","Rv0673","mtu00903"
"echA11","Rv1141c","mtu00903"
"fadB","Rv0860","mtu00903"
"phyA","Rv3397c","mtu00906"
"phyA","Rv3397c","mtu00906"
